data_referencia;total_investido
2022-01-01;245400544115.87
2022-02-01;246036413257.95
2022-03-01;244187727488.4
2022-04-01;252372182372.65
2022-05-01;250939135276.03
2022-06-01;260324637963.37
2022-07-01;268529473491.19
2022-08-01;271783511749.35
2022-09-01;275420157004.48
2022-10-01;277853481887.05
2022-11-01;281792521603.99
2022-12-01;288310146921.3
2023-01-01;290100509936.11
2023-02-01;291512155721.5
2023-03-01;297642577920.2
2023-04-01;298205042570.47003
2023-05-01;300088792611.13
2023-06-01;306940757228.54
2023-07-01;312654369117.14
2023-08-01;313802709230.2
2023-09-01;315632565041.21
2023-10-01;318692522390.67
2023-11-01;320976338029.87
2023-12-01;341142155776.65
2024-01-01;344002373948.65
2024-02-01;346396273266.98
2024-03-01;350288759765.34
2024-04-01;350388848790.99
2024-05-01;351059587516.68
2024-06-01;358337685463.63
2024-07-01;362781056871.54
2024-08-01;367127195135.21
2024-09-01;370367054437.48
2024-10-01;374407170393.06
2024-11-01;376483872795.17
2024-12-01;378808457876.01
